Year,Travel status,Week,Reported cases
2020,All,01,47
2020,All,02,61
2020,All,03,57
2020,All,04,40
2020,All,05,42
2020,All,06,32
2020,All,07,34
2020,All,08,41
2020,All,09,33
2020,All,10,19
2020,All,11,20
2020,All,12,11
2020,All,13,9
2020,All,14,11
2020,All,15,10
2020,All,16,11
2020,All,17,12
2020,All,18,11
2020,All,19,12
2020,All,20,12
2020,All,21,7
2020,All,22,13
2020,All,23,10
2020,All,24,18
2020,All,25,32
2020,All,26,15
2020,All,27,25
2020,All,28,13
2020,All,29,12
2020,All,30,10
2020,All,31,16
2020,All,32,10
2020,All,33,16
2020,All,34,16
2020,All,35,19
2020,All,36,30
2020,All,37,21
2020,All,38,20
2020,All,39,27
2020,All,40,33
2020,All,41,40
2020,All,42,39
2020,All,43,46
2020,All,44,34
2020,All,45,42
2020,All,46,44
2020,All,47,33
2020,All,48,26
2020,All,49,33
2020,All,50,27
2020,All,51,31
2020,All,52,34
2020,All,53,20
