FullGeoName,Year,Travel status,County,Count,Legend,Notes
"AL, Madison",2012,All,01089,1 to 4,1 to 4,"AL, Madison County"
"AL, Mobile",2012,All,01097,1 to 4,1 to 4,"AL, Mobile County"
AK,2012,All,02999,1 to 4,1 to 4,"AK, Alaska"
"AZ, Pima",2012,All,04019,1 to 4,1 to 4,"AZ, Pima County"
"AZ, Yuma",2012,All,04027,1 to 4,1 to 4,"AZ, Yuma County"
"CA, Contra Costa",2012,All,06013,1 to 4,1 to 4,"CA, Contra Costa County"
"CA, Fresno",2012,All,06019,1 to 4,1 to 4,"CA, Fresno County"
"CA, Los Angeles",2012,All,06037,1 to 4,1 to 4,"CA, Los Angeles County"
"CA, Monterey",2012,All,06053,1 to 4,1 to 4,"CA, Monterey County"
"CA, Orange",2012,All,06059,1 to 4,1 to 4,"CA, Orange County"
"CA, Riverside",2012,All,06065,1 to 4,1 to 4,"CA, Riverside County"
"CA, Sacramento",2012,All,06067,1 to 4,1 to 4,"CA, Sacramento County"
"CA, San Bernardino",2012,All,06071,1 to 4,1 to 4,"CA, San Bernardino County"
"CA, San Francisco",2012,All,06075,1 to 4,1 to 4,"CA, San Francisco, City and County of"
"CA, San Luis Obispo",2012,All,06079,1 to 4,1 to 4,"CA, San Luis Obispo County"
"CA, San Mateo",2012,All,06081,1 to 4,1 to 4,"CA, San Mateo County"
"CA, Santa Barbara",2012,All,06083,1 to 4,1 to 4,"CA, Santa Barbara County"
"CA, Santa Cruz",2012,All,06087,1 to 4,1 to 4,"CA, Santa Cruz County"
"CA, Sonoma",2012,All,06097,1 to 4,1 to 4,"CA, Sonoma County"
"CA, Ventura",2012,All,06111,1 to 4,1 to 4,"CA, Ventura County"
"CA, Yolo",2012,All,06113,1 to 4,1 to 4,"CA, Yolo County"
"CT, Hartford",2012,All,09003,1 to 4,1 to 4,"CT, Hartford County"
"CT, Middlesex",2012,All,09007,1 to 4,1 to 4,"CT, Middlesex County"
"CT, New London",2012,All,09011,1 to 4,1 to 4,"CT, New London County"
"CT, Windham",2012,All,09015,1 to 4,1 to 4,"CT, Windham County"
"FL, Brevard",2012,All,12009,1 to 4,1 to 4,"FL, Brevard County"
"FL, Collier",2012,All,12021,1 to 4,1 to 4,"FL, Collier County"
"FL, Duval",2012,All,12031,1 to 4,1 to 4,"FL, Duval County"
"FL, Flagler",2012,All,12035,1 to 4,1 to 4,"FL, Flagler County"
"FL, Lake",2012,All,12069,1 to 4,1 to 4,"FL, Lake County"
"FL, Lee",2012,All,12071,1 to 4,1 to 4,"FL, Lee County"
"FL, Marion",2012,All,12083,1 to 4,1 to 4,"FL, Marion County"
"FL, Okaloosa",2012,All,12091,1 to 4,1 to 4,"FL, Okaloosa County"
"FL, Pasco",2012,All,12101,1 to 4,1 to 4,"FL, Pasco County"
"FL, Pinellas",2012,All,12103,1 to 4,1 to 4,"FL, Pinellas County"
"FL, Polk",2012,All,12105,1 to 4,1 to 4,"FL, Polk County"
"FL, St Johns",2012,All,12109,1 to 4,1 to 4,"FL, St. Johns County"
"FL, St Lucie",2012,All,12111,1 to 4,1 to 4,"FL, St. Lucie County"
"FL, Sarasota",2012,All,12115,1 to 4,1 to 4,"FL, Sarasota County"
"FL, Seminole",2012,All,12117,1 to 4,1 to 4,"FL, Seminole County"
"FL, Volusia",2012,All,12127,1 to 4,1 to 4,"FL, Volusia County"
"GA, Cobb",2012,All,13067,1 to 4,1 to 4,"GA, Cobb County"
"GA, De Kalb",2012,All,13089,1 to 4,1 to 4,"GA, DeKalb County"
"GA, Forsyth",2012,All,13117,1 to 4,1 to 4,"GA, Forsyth County"
"GA, Fulton",2012,All,13121,1 to 4,1 to 4,"GA, Fulton County"
"GA, Gwinnett",2012,All,13135,1 to 4,1 to 4,"GA, Gwinnett County"
"GA, Muscogee",2012,All,13215,1 to 4,1 to 4,"GA, Muscogee County"
"GA, Paulding",2012,All,13223,1 to 4,1 to 4,"GA, Paulding County"
"HI, Hawaii",2012,All,15001,1 to 4,1 to 4,"HI, Hawaii County"
"HI, Maui",2012,All,15009,1 to 4,1 to 4,"HI, Maui County"
"ID, Bonner",2012,All,16017,1 to 4,1 to 4,"ID, Bonner County"
"IL, Carroll",2012,All,17015,1 to 4,1 to 4,"IL, Carroll County"
"IL, Du Page",2012,All,17043,1 to 4,1 to 4,"IL, DuPage County"
"IL, Kane",2012,All,17089,1 to 4,1 to 4,"IL, Kane County"
"IL, Kendall",2012,All,17093,1 to 4,1 to 4,"IL, Kendall County"
