FullGeoName,Year,Travel status,County,Count,Legend,Notes
"AL, Chilton",2011,All,01021,1 to 4,1 to 4,"AL, Chilton County"
"AL, Jefferson",2011,All,01073,1 to 4,1 to 4,"AL, Jefferson County"
"AL, Montgomery",2011,All,01101,1 to 4,1 to 4,"AL, Montgomery County"
"AL, Tuscaloosa",2011,All,01125,1 to 4,1 to 4,"AL, Tuscaloosa County"
"AZ, Maricopa",2011,All,04013,1 to 4,1 to 4,"AZ, Maricopa County"
"CA, Contra Costa",2011,All,06013,1 to 4,1 to 4,"CA, Contra Costa County"
"CA, Fresno",2011,All,06019,1 to 4,1 to 4,"CA, Fresno County"
"CA, Sacramento",2011,All,06067,1 to 4,1 to 4,"CA, Sacramento County"
"CA, San Diego",2011,All,06073,1 to 4,1 to 4,"CA, San Diego County"
"CA, San Mateo",2011,All,06081,1 to 4,1 to 4,"CA, San Mateo County"
"CT, New Haven",2011,All,09009,1 to 4,1 to 4,"CT, New Haven County"
"DE, New Castle",2011,All,10003,1 to 4,1 to 4,"DE, New Castle County"
"FL, Brevard",2011,All,12009,1 to 4,1 to 4,"FL, Brevard County"
"FL, Broward",2011,All,12011,1 to 4,1 to 4,"FL, Broward County"
"FL, Clay",2011,All,12019,1 to 4,1 to 4,"FL, Clay County"
"FL, Columbia",2011,All,12023,1 to 4,1 to 4,"FL, Columbia County"
"FL, Flagler",2011,All,12035,1 to 4,1 to 4,"FL, Flagler County"
"FL, Gulf",2011,All,12045,1 to 4,1 to 4,"FL, Gulf County"
"FL, Hendry",2011,All,12051,1 to 4,1 to 4,"FL, Hendry County"
"FL, Hillsborough",2011,All,12057,1 to 4,1 to 4,"FL, Hillsborough County"
"FL, Lee",2011,All,12071,1 to 4,1 to 4,"FL, Lee County"
"FL, Marion",2011,All,12083,1 to 4,1 to 4,"FL, Marion County"
"FL, Martin",2011,All,12085,1 to 4,1 to 4,"FL, Martin County"
"FL, Osceola",2011,All,12097,1 to 4,1 to 4,"FL, Osceola County"
"FL, Pasco",2011,All,12101,1 to 4,1 to 4,"FL, Pasco County"
"FL, Pinellas",2011,All,12103,1 to 4,1 to 4,"FL, Pinellas County"
"FL, St Johns",2011,All,12109,1 to 4,1 to 4,"FL, St. Johns County"
"FL, St Lucie",2011,All,12111,1 to 4,1 to 4,"FL, St. Lucie County"
"FL, Washington",2011,All,12133,1 to 4,1 to 4,"FL, Washington County"
"GA, Cobb",2011,All,13067,1 to 4,1 to 4,"GA, Cobb County"
"GA, De Kalb",2011,All,13089,1 to 4,1 to 4,"GA, DeKalb County"
"GA, Fulton",2011,All,13121,1 to 4,1 to 4,"GA, Fulton County"
"GA, Gwinnett",2011,All,13135,1 to 4,1 to 4,"GA, Gwinnett County"
"HI, Hawaii",2011,All,15001,1 to 4,1 to 4,"HI, Hawaii County"
"HI, Kauai",2011,All,15007,1 to 4,1 to 4,"HI, Kauai County"
"HI, Maui",2011,All,15009,1 to 4,1 to 4,"HI, Maui County"
"IL, Du Page",2011,All,17043,1 to 4,1 to 4,"IL, DuPage County"
"IL, Knox",2011,All,17095,1 to 4,1 to 4,"IL, Knox County"
"IL, Sangamon",2011,All,17167,1 to 4,1 to 4,"IL, Sangamon County"
"IN, Delaware",2011,All,18035,1 to 4,1 to 4,"IN, Delaware County"
"IN, Fulton",2011,All,18049,1 to 4,1 to 4,"IN, Fulton County"
"IA, Black Hawk",2011,All,19013,1 to 4,1 to 4,"IA, Black Hawk County"
"IA, Johnson",2011,All,19103,1 to 4,1 to 4,"IA, Johnson County"
"IA, Linn",2011,All,19113,1 to 4,1 to 4,"IA, Linn County"
"IA, Muscatine",2011,All,19139,1 to 4,1 to 4,"IA, Muscatine County"
"IA, Winneshiek",2011,All,19191,1 to 4,1 to 4,"IA, Winneshiek County"
"KS, Johnson",2011,All,20091,1 to 4,1 to 4,"KS, Johnson County"
"KY, Fayette",2011,All,21067,1 to 4,1 to 4,"KY, Fayette County"
"KY, Jefferson",2011,All,21111,1 to 4,1 to 4,"KY, Jefferson County"
"KY, Mccracken",2011,All,21145,1 to 4,1 to 4,"KY, McCracken County"
"KY, Powell",2011,All,21197,1 to 4,1 to 4,"KY, Powell County"
"LA, Ascension Parish",2011,All,22005,1 to 4,1 to 4,"LA, Ascension Parish"
"LA, Lincoln Parish",2011,All,22061,1 to 4,1 to 4,"LA, Lincoln Parish"
"LA, St Tammany Parish",2011,All,22103,1 to 4,1 to 4,"LA, St. Tammany Parish"
"MD, Baltimore",2011,All,24005,1 to 4,1 to 4,"MD, Baltimore County"
"MD, Harford",2011,All,24025,1 to 4,1 to 4,"MD, Harford County"
"MD, Howard",2011,All,24027,1 to 4,1 to 4,"MD, Howard County"
"MD, Montgomery",2011,All,24031,1 to 4,1 to 4,"MD, Montgomery County"
"MD, Prince Georges",2011,All,24033,1 to 4,1 to 4,"MD, Prince George's County"
"MI, Kent",2011,All,26081,1 to 4,1 to 4,"MI, Kent County"
"MI, Livingston",2011,All,26093,1 to 4,1 to 4,"MI, Livingston County"
"MI, Washtenaw",2011,All,26161,1 to 4,1 to 4,"MI, Washtenaw County"
"MI, Wayne",2011,All,26163,1 to 4,1 to 4,"MI, Wayne County"
"MN, Dakota",2011,All,27037,1 to 4,1 to 4,"MN, Dakota County"
"MN, Hennepin",2011,All,27053,1 to 4,1 to 4,"MN, Hennepin County"
"MN, Olmsted",2011,All,27109,1 to 4,1 to 4,"MN, Olmsted County"
"MN, Sherburne",2011,All,27141,1 to 4,1 to 4,"MN, Sherburne County"
"NV, Clark",2011,All,32003,1 to 4,1 to 4,"NV, Clark County"
"NM, Bernalillo",2011,All,35001,1 to 4,1 to 4,"NM, Bernalillo County"
"NM, Santa Fe",2011,All,35049,1 to 4,1 to 4,"NM, Santa Fe County"
"NY, Bronx",2011,All,36005,1 to 4,1 to 4,"NY, Bronx County"
"NY, Nassau",2011,All,36059,1 to 4,1 to 4,"NY, Nassau County"
