FullGeoName,Year,Travel status,County,Count,Legend,Notes
"AL, Elmore",2023,All,01051,1 to 4,1 to 4,"AL, Elmore County"
"AL, Jefferson",2023,All,01073,1 to 4,1 to 4,"AL, Jefferson County"
"AL, Madison",2023,All,01089,1 to 4,1 to 4,"AL, Madison County"
"AK, Anchorage Muny",2023,All,02020,1 to 4,1 to 4,"AK, Anchorage, Municipality of"
"AK, Matanuska-susitna Borough",2023,All,02170,1 to 4,1 to 4,"AK, Matanuska-Susitna Borough"
"AZ, Pima",2023,All,04019,1 to 4,1 to 4,"AZ, Pima County"
"AZ, Pinal",2023,All,04021,1 to 4,1 to 4,"AZ, Pinal County"
"AZ, Yavapai",2023,All,04025,1 to 4,1 to 4,"AZ, Yavapai County"
"AR, Madison",2023,All,05087,1 to 4,1 to 4,"AR, Madison County"
"AR, Pulaski",2023,All,05119,1 to 4,1 to 4,"AR, Pulaski County"
"CA, Butte",2023,All,06007,1 to 4,1 to 4,"CA, Butte County"
"CA, Contra Costa",2023,All,06013,1 to 4,1 to 4,"CA, Contra Costa County"
"CA, Fresno",2023,All,06019,1 to 4,1 to 4,"CA, Fresno County"
"CA, Imperial",2023,All,06025,1 to 4,1 to 4,"CA, Imperial County"
"CA, Kern",2023,All,06029,1 to 4,1 to 4,"CA, Kern County"
"CA, Marin",2023,All,06041,1 to 4,1 to 4,"CA, Marin County"
"CA, Mendocino",2023,All,06045,1 to 4,1 to 4,"CA, Mendocino County"
"CA, Merced",2023,All,06047,1 to 4,1 to 4,"CA, Merced County"
"CA, Monterey",2023,All,06053,1 to 4,1 to 4,"CA, Monterey County"
"CA, Riverside",2023,All,06065,1 to 4,1 to 4,"CA, Riverside County"
"CA, Sacramento",2023,All,06067,1 to 4,1 to 4,"CA, Sacramento County"
"CA, San Benito",2023,All,06069,1 to 4,1 to 4,"CA, San Benito County"
"CA, San Joaquin",2023,All,06077,1 to 4,1 to 4,"CA, San Joaquin County"
"CA, San Luis Obispo",2023,All,06079,1 to 4,1 to 4,"CA, San Luis Obispo County"
"CA, Santa Barbara",2023,All,06083,1 to 4,1 to 4,"CA, Santa Barbara County"
"CA, Santa Cruz",2023,All,06087,1 to 4,1 to 4,"CA, Santa Cruz County"
"CA, Sonoma",2023,All,06097,1 to 4,1 to 4,"CA, Sonoma County"
"CA, Tehama",2023,All,06103,1 to 4,1 to 4,"CA, Tehama County"
"CA, Tulare",2023,All,06107,1 to 4,1 to 4,"CA, Tulare County"
"CA, Ventura",2023,All,06111,1 to 4,1 to 4,"CA, Ventura County"
"CA, Yolo",2023,All,06113,1 to 4,1 to 4,"CA, Yolo County"
"CO, Adams",2023,All,08001,1 to 4,1 to 4,"CO, Adams County"
"CO, Arapahoe",2023,All,08005,1 to 4,1 to 4,"CO, Arapahoe County"
"CO, Boulder",2023,All,08013,1 to 4,1 to 4,"CO, Boulder County"
"CO, Douglas",2023,All,08035,1 to 4,1 to 4,"CO, Douglas County"
"CO, Gunnison",2023,All,08051,1 to 4,1 to 4,"CO, Gunnison County"
"CO, Jefferson",2023,All,08059,1 to 4,1 to 4,"CO, Jefferson County"
"CO, Pitkin",2023,All,08097,1 to 4,1 to 4,"CO, Pitkin County"
"CO, Routt",2023,All,08107,1 to 4,1 to 4,"CO, Routt County"
"CO, San Miguel",2023,All,08113,1 to 4,1 to 4,"CO, San Miguel County"
"CO, Weld",2023,All,08123,1 to 4,1 to 4,"CO, Weld County"
"CT, Capitol",2023,All,09110,1 to 4,1 to 4,"CT, NA"
"CT, Greater Bridgeport",2023,All,09120,1 to 4,1 to 4,"CT, NA"
"CT, Lower Connecticut River Valley",2023,All,09130,1 to 4,1 to 4,"CT, NA"
"CT, Northwest Hills",2023,All,09160,1 to 4,1 to 4,"CT, NA"
"CT, South Central Connecticut",2023,All,09170,1 to 4,1 to 4,"CT, NA"
"CT, Southeastern Connecticut",2023,All,09180,1 to 4,1 to 4,"CT, NA"
"CT, Western Connecticut",2023,All,09190,1 to 4,1 to 4,"CT, NA"
"FL, Alachua",2023,All,12001,1 to 4,1 to 4,"FL, Alachua County"
"FL, Bay",2023,All,12005,1 to 4,1 to 4,"FL, Bay County"
"FL, Brevard",2023,All,12009,1 to 4,1 to 4,"FL, Brevard County"
"FL, Charlotte",2023,All,12015,1 to 4,1 to 4,"FL, Charlotte County"
"FL, Escambia",2023,All,12033,1 to 4,1 to 4,"FL, Escambia County"
"FL, Hendry",2023,All,12051,1 to 4,1 to 4,"FL, Hendry County"
"FL, Hernando",2023,All,12053,1 to 4,1 to 4,"FL, Hernando County"
"FL, Highlands",2023,All,12055,1 to 4,1 to 4,"FL, Highlands County"
"FL, Indian River",2023,All,12061,1 to 4,1 to 4,"FL, Indian River County"
"FL, Leon",2023,All,12073,1 to 4,1 to 4,"FL, Leon County"
"FL, Manatee",2023,All,12081,1 to 4,1 to 4,"FL, Manatee County"
"FL, Marion",2023,All,12083,1 to 4,1 to 4,"FL, Marion County"
"FL, Monroe",2023,All,12087,1 to 4,1 to 4,"FL, Monroe County"
"FL, Nassau",2023,All,12089,1 to 4,1 to 4,"FL, Nassau County"
"FL, Okaloosa",2023,All,12091,1 to 4,1 to 4,"FL, Okaloosa County"
"FL, Pasco",2023,All,12101,1 to 4,1 to 4,"FL, Pasco County"
"FL, St Johns",2023,All,12109,1 to 4,1 to 4,"FL, St. Johns County"
"FL, Seminole",2023,All,12117,1 to 4,1 to 4,"FL, Seminole County"
"GA, Barrow",2023,All,13013,1 to 4,1 to 4,"GA, Barrow County"
"GA, Clayton",2023,All,13063,1 to 4,1 to 4,"GA, Clayton County"
"GA, Cobb",2023,All,13067,1 to 4,1 to 4,"GA, Cobb County"
"GA, Coweta",2023,All,13077,1 to 4,1 to 4,"GA, Coweta County"
"GA, De Kalb",2023,All,13089,1 to 4,1 to 4,"GA, DeKalb County"
"GA, Effingham",2023,All,13103,1 to 4,1 to 4,"GA, Effingham County"
"GA, Forsyth",2023,All,13117,1 to 4,1 to 4,"GA, Forsyth County"
"GA, Glynn",2023,All,13127,1 to 4,1 to 4,"GA, Glynn County"
"GA, Lumpkin",2023,All,13187,1 to 4,1 to 4,"GA, Lumpkin County"
"GA, Walton",2023,All,13297,1 to 4,1 to 4,"GA, Walton County"
"HI, Hawaii",2023,All,15001,1 to 4,1 to 4,"HI, Hawaii County"
"HI, Honolulu",2023,All,15003,1 to 4,1 to 4,"HI, Honolulu, City and County of"
"HI, Kauai",2023,All,15007,1 to 4,1 to 4,"HI, Kauai County"
"ID, Ada",2023,All,16001,1 to 4,1 to 4,"ID, Ada County"
"ID, Blaine",2023,All,16013,1 to 4,1 to 4,"ID, Blaine County"
"ID, Bonneville",2023,All,16019,1 to 4,1 to 4,"ID, Bonneville County"
"IL, Kane",2023,All,17089,1 to 4,1 to 4,"IL, Kane County"
"IL, Lake",2023,All,17097,1 to 4,1 to 4,"IL, Lake County"
"IL, Mchenry",2023,All,17111,1 to 4,1 to 4,"IL, McHenry County"
"IL, Macon",2023,All,17115,1 to 4,1 to 4,"IL, Macon County"
"IL, Peoria",2023,All,17143,1 to 4,1 to 4,"IL, Peoria County"
"IL, Will",2023,All,17197,1 to 4,1 to 4,"IL, Will County"
"IN, Boone",2023,All,18011,1 to 4,1 to 4,"IN, Boone County"
"IN, Clark",2023,All,18019,1 to 4,1 to 4,"IN, Clark County"
"IN, Elkhart",2023,All,18039,1 to 4,1 to 4,"IN, Elkhart County"
"IN, Hamilton",2023,All,18057,1 to 4,1 to 4,"IN, Hamilton County"
"IN, Hendricks",2023,All,18063,1 to 4,1 to 4,"IN, Hendricks County"
"IN, Johnson",2023,All,18081,1 to 4,1 to 4,"IN, Johnson County"
"IN, Lake",2023,All,18089,1 to 4,1 to 4,"IN, Lake County"
"IN, Marion",2023,All,18097,1 to 4,1 to 4,"IN, Marion County"
"IA, Johnson",2023,All,19103,1 to 4,1 to 4,"IA, Johnson County"
"IA, Linn",2023,All,19113,1 to 4,1 to 4,"IA, Linn County"
"IA, Polk",2023,All,19153,1 to 4,1 to 4,"IA, Polk County"
"IA, Story",2023,All,19169,1 to 4,1 to 4,"IA, Story County"
"KS, Ford",2023,All,20057,1 to 4,1 to 4,"KS, Ford County"
"KS, Johnson",2023,All,20091,1 to 4,1 to 4,"KS, Johnson County"
"KY, Livingston",2023,All,21139,1 to 4,1 to 4,"KY, Livingston County"
"KY, Spencer",2023,All,21215,1 to 4,1 to 4,"KY, Spencer County"
"KY, Warren",2023,All,21227,1 to 4,1 to 4,"KY, Warren County"
"LA, Jefferson Parish",2023,All,22051,1 to 4,1 to 4,"LA, Jefferson Parish"
"LA, Jefferson Davis Parish",2023,All,22053,1 to 4,1 to 4,"LA, Jefferson Davis Parish"
"LA, Tangipahoa Parish",2023,All,22105,1 to 4,1 to 4,"LA, Tangipahoa Parish"
"MD, Baltimore",2023,All,24005,1 to 4,1 to 4,"MD, Baltimore County"
"MD, Carroll",2023,All,24013,1 to 4,1 to 4,"MD, Carroll County"
"MD, Charles",2023,All,24017,1 to 4,1 to 4,"MD, Charles County"
"MD, Frederick",2023,All,24021,1 to 4,1 to 4,"MD, Frederick County"
"MD, Howard",2023,All,24027,1 to 4,1 to 4,"MD, Howard County"
"MD, Prince Georges",2023,All,24033,1 to 4,1 to 4,"MD, Prince George's County"
"MD, Queen Annes",2023,All,24035,1 to 4,1 to 4,"MD, Queen Anne's County"
"MD, Baltimore City",2023,All,24510,1 to 4,1 to 4,"MD, Baltimore City"
