Year,Travel status,Week,Reported cases
2019,All,01,29
2019,All,02,17
2019,All,03,13
2019,All,04,10
2019,All,05,6
2019,All,06,9
2019,All,07,4
2019,All,08,8
2019,All,09,5
2019,All,10,9
2019,All,11,7
2019,All,12,5
2019,All,13,7
2019,All,14,8
2019,All,15,8
2019,All,16,7
2019,All,17,17
2019,All,18,9
2019,All,19,8
2019,All,20,6
2019,All,21,15
2019,All,22,20
2019,All,23,13
2019,All,24,19
2019,All,25,9
2019,All,26,28
2019,All,27,41
2019,All,28,40
2019,All,29,56
2019,All,30,52
2019,All,31,54
2019,All,32,76
2019,All,33,76
2019,All,34,78
2019,All,35,69
2019,All,36,69
2019,All,37,61
2019,All,38,63
2019,All,39,49
2019,All,40,46
2019,All,41,51
2019,All,42,53
2019,All,43,52
2019,All,44,59
2019,All,45,35
2019,All,46,41
2019,All,47,34
2019,All,48,31
2019,All,49,28
2019,All,50,30
2019,All,51,18
2019,All,52,35
2019,All,53,0
