Year,Travel status,Week,Reported cases
2011,All,01,32
2011,All,02,38
2011,All,03,30
2011,All,04,14
2011,All,05,22
2011,All,06,25
2011,All,07,19
2011,All,08,23
2011,All,09,10
2011,All,10,16
2011,All,11,5
2011,All,12,12
2011,All,13,6
2011,All,14,11
2011,All,15,6
2011,All,16,7
2011,All,17,9
2011,All,18,5
2011,All,19,4
2011,All,20,7
2011,All,21,9
2011,All,22,5
2011,All,23,7
2011,All,24,12
2011,All,25,13
2011,All,26,37
2011,All,27,29
2011,All,28,44
2011,All,29,51
2011,All,30,48
2011,All,31,51
2011,All,32,61
2011,All,33,78
2011,All,34,72
2011,All,35,72
2011,All,36,84
2011,All,37,93
2011,All,38,70
2011,All,39,80
2011,All,40,60
2011,All,41,76
2011,All,42,70
2011,All,43,68
2011,All,44,59
2011,All,45,49
2011,All,46,29
2011,All,47,35
2011,All,48,33
2011,All,49,30
2011,All,50,29
2011,All,51,17
2011,All,52,23
2011,All,53,0
