FullGeoName,Year,Travel status,County,Count,Legend,Notes
"AL, Franklin",2015,All,01059,1 to 4,1 to 4,"AL, Franklin County"
"AL, Jefferson",2015,All,01073,1 to 4,1 to 4,"AL, Jefferson County"
"AL, Shelby",2015,All,01117,1 to 4,1 to 4,"AL, Shelby County"
"AZ, Cochise",2015,All,04003,1 to 4,1 to 4,"AZ, Cochise County"
"AZ, Mohave",2015,All,04015,1 to 4,1 to 4,"AZ, Mohave County"
"AZ, Pima",2015,All,04019,1 to 4,1 to 4,"AZ, Pima County"
"AZ, Santa Cruz",2015,All,04023,1 to 4,1 to 4,"AZ, Santa Cruz County"
"AZ, Yavapai",2015,All,04025,1 to 4,1 to 4,"AZ, Yavapai County"
"AZ, Yuma",2015,All,04027,1 to 4,1 to 4,"AZ, Yuma County"
"AR, Benton",2015,All,05007,1 to 4,1 to 4,"AR, Benton County"
"CA, Fresno",2015,All,06019,1 to 4,1 to 4,"CA, Fresno County"
"CA, Imperial",2015,All,06025,1 to 4,1 to 4,"CA, Imperial County"
"CA, Kern",2015,All,06029,1 to 4,1 to 4,"CA, Kern County"
"CA, Marin",2015,All,06041,1 to 4,1 to 4,"CA, Marin County"
"CA, Monterey",2015,All,06053,1 to 4,1 to 4,"CA, Monterey County"
"CA, Placer",2015,All,06061,1 to 4,1 to 4,"CA, Placer County"
"CA, San Bernardino",2015,All,06071,1 to 4,1 to 4,"CA, San Bernardino County"
"CA, San Francisco",2015,All,06075,1 to 4,1 to 4,"CA, San Francisco, City and County of"
"CA, San Luis Obispo",2015,All,06079,1 to 4,1 to 4,"CA, San Luis Obispo County"
"CA, Santa Barbara",2015,All,06083,1 to 4,1 to 4,"CA, Santa Barbara County"
"CA, Santa Cruz",2015,All,06087,1 to 4,1 to 4,"CA, Santa Cruz County"
"CA, Stanislaus",2015,All,06099,1 to 4,1 to 4,"CA, Stanislaus County"
"CA, Tulare",2015,All,06107,1 to 4,1 to 4,"CA, Tulare County"
"CA, Yolo",2015,All,06113,1 to 4,1 to 4,"CA, Yolo County"
"CO, Arapahoe",2015,All,08005,1 to 4,1 to 4,"CO, Arapahoe County"
"CO, Boulder",2015,All,08013,1 to 4,1 to 4,"CO, Boulder County"
"CO, Douglas",2015,All,08035,1 to 4,1 to 4,"CO, Douglas County"
"CO, Eagle",2015,All,08037,1 to 4,1 to 4,"CO, Eagle County"
"CO, El Paso",2015,All,08041,1 to 4,1 to 4,"CO, El Paso County"
"CO, Jefferson",2015,All,08059,1 to 4,1 to 4,"CO, Jefferson County"
"CO, La Plata",2015,All,08067,1 to 4,1 to 4,"CO, La Plata County"
"CO, Larimer",2015,All,08069,1 to 4,1 to 4,"CO, Larimer County"
"CT, Fairfield",2015,All,09001,1 to 4,1 to 4,"CT, Fairfield County"
"CT, Hartford",2015,All,09003,1 to 4,1 to 4,"CT, Hartford County"
"CT, New Haven",2015,All,09009,1 to 4,1 to 4,"CT, New Haven County"
"DE, New Castle",2015,All,10003,1 to 4,1 to 4,"DE, New Castle County"
"FL, Alachua",2015,All,12001,1 to 4,1 to 4,"FL, Alachua County"
"FL, Clay",2015,All,12019,1 to 4,1 to 4,"FL, Clay County"
"FL, Collier",2015,All,12021,1 to 4,1 to 4,"FL, Collier County"
"FL, Duval",2015,All,12031,1 to 4,1 to 4,"FL, Duval County"
"FL, Flagler",2015,All,12035,1 to 4,1 to 4,"FL, Flagler County"
"FL, Hernando",2015,All,12053,1 to 4,1 to 4,"FL, Hernando County"
"FL, Lee",2015,All,12071,1 to 4,1 to 4,"FL, Lee County"
"FL, Monroe",2015,All,12087,1 to 4,1 to 4,"FL, Monroe County"
"FL, Orange",2015,All,12095,1 to 4,1 to 4,"FL, Orange County"
"FL, Osceola",2015,All,12097,1 to 4,1 to 4,"FL, Osceola County"
"FL, Pinellas",2015,All,12103,1 to 4,1 to 4,"FL, Pinellas County"
"FL, St Johns",2015,All,12109,1 to 4,1 to 4,"FL, St. Johns County"
"FL, St Lucie",2015,All,12111,1 to 4,1 to 4,"FL, St. Lucie County"
"FL, Seminole",2015,All,12117,1 to 4,1 to 4,"FL, Seminole County"
"GA, Bulloch",2015,All,13031,1 to 4,1 to 4,"GA, Bulloch County"
"GA, Cherokee",2015,All,13057,1 to 4,1 to 4,"GA, Cherokee County"
"GA, Columbia",2015,All,13073,1 to 4,1 to 4,"GA, Columbia County"
"HI, Maui",2015,All,15009,1 to 4,1 to 4,"HI, Maui County"
"ID, Ada",2015,All,16001,1 to 4,1 to 4,"ID, Ada County"
"ID, Canyon",2015,All,16027,1 to 4,1 to 4,"ID, Canyon County"
"ID, Teton",2015,All,16081,1 to 4,1 to 4,"ID, Teton County"
"IL, Champaign",2015,All,17019,1 to 4,1 to 4,"IL, Champaign County"
"IL, Du Page",2015,All,17043,1 to 4,1 to 4,"IL, DuPage County"
