Year,Travel status,Week,Reported cases
2021,All,01,49
2021,All,02,25
2021,All,03,27
2021,All,04,27
2021,All,05,23
2021,All,06,23
2021,All,07,18
2021,All,08,17
2021,All,09,30
2021,All,10,20
2021,All,11,9
2021,All,12,7
2021,All,13,12
2021,All,14,5
2021,All,15,8
2021,All,16,9
2021,All,17,11
2021,All,18,4
2021,All,19,12
2021,All,20,12
2021,All,21,13
2021,All,22,12
2021,All,23,9
2021,All,24,12
2021,All,25,7
2021,All,26,18
2021,All,27,20
2021,All,28,13
2021,All,29,13
2021,All,30,6
2021,All,31,16
2021,All,32,19
2021,All,33,10
2021,All,34,13
2021,All,35,12
2021,All,36,10
2021,All,37,16
2021,All,38,15
2021,All,39,15
2021,All,40,15
2021,All,41,26
2021,All,42,18
2021,All,43,17
2021,All,44,19
2021,All,45,20
2021,All,46,10
2021,All,47,28
2021,All,48,17
2021,All,49,14
2021,All,50,18
2021,All,51,11
2021,All,52,4
2021,All,53,0
