Year,Travel status,Week,Reported cases
2018,All,01,37
2018,All,02,28
2018,All,03,28
2018,All,04,25
2018,All,05,9
2018,All,06,27
2018,All,07,15
2018,All,08,13
2018,All,09,3
2018,All,10,1
2018,All,11,1
2018,All,12,3
2018,All,13,3
2018,All,14,4
2018,All,15,2
2018,All,16,0
2018,All,17,8
2018,All,18,4
2018,All,19,2
2018,All,20,4
2018,All,21,5
2018,All,22,5
2018,All,23,3
2018,All,24,9
2018,All,25,9
2018,All,26,12
2018,All,27,9
2018,All,28,8
2018,All,29,15
2018,All,30,9
2018,All,31,25
2018,All,32,15
2018,All,33,16
2018,All,34,14
2018,All,35,17
2018,All,36,10
2018,All,37,14
2018,All,38,13
2018,All,39,6
2018,All,40,14
2018,All,41,21
2018,All,42,14
2018,All,43,15
2018,All,44,24
2018,All,45,18
2018,All,46,23
2018,All,47,17
2018,All,48,24
2018,All,49,14
2018,All,50,9
2018,All,51,7
2018,All,52,8
2018,All,53,0
