FullGeoName,Year,Travel status,County,Count,Legend,Notes
"AL, Elmore",2016,All,01051,1 to 4,1 to 4,"AL, Elmore County"
"AL, Jefferson",2016,All,01073,1 to 4,1 to 4,"AL, Jefferson County"
"AL, Madison",2016,All,01089,1 to 4,1 to 4,"AL, Madison County"
"AL, Montgomery",2016,All,01101,1 to 4,1 to 4,"AL, Montgomery County"
"AK, Anchorage Muny",2016,All,02020,1 to 4,1 to 4,"AK, Anchorage, Municipality of"
AK,2016,All,02999,1 to 4,1 to 4,"AK, Alaska"
"AZ, Pima",2016,All,04019,1 to 4,1 to 4,"AZ, Pima County"
"AR, Benton",2016,All,05007,1 to 4,1 to 4,"AR, Benton County"
"AR, Sevier",2016,All,05133,1 to 4,1 to 4,"AR, Sevier County"
"CA, El Dorado",2016,All,06017,1 to 4,1 to 4,"CA, El Dorado County"
"CA, Humboldt",2016,All,06023,1 to 4,1 to 4,"CA, Humboldt County"
"CA, Marin",2016,All,06041,1 to 4,1 to 4,"CA, Marin County"
"CA, Mendocino",2016,All,06045,1 to 4,1 to 4,"CA, Mendocino County"
"CA, Monterey",2016,All,06053,1 to 4,1 to 4,"CA, Monterey County"
"CA, Napa",2016,All,06055,1 to 4,1 to 4,"CA, Napa County"
"CA, Placer",2016,All,06061,1 to 4,1 to 4,"CA, Placer County"
"CA, Riverside",2016,All,06065,1 to 4,1 to 4,"CA, Riverside County"
"CA, Sacramento",2016,All,06067,1 to 4,1 to 4,"CA, Sacramento County"
"CA, San Benito",2016,All,06069,1 to 4,1 to 4,"CA, San Benito County"
"CA, San Francisco",2016,All,06075,1 to 4,1 to 4,"CA, San Francisco, City and County of"
"CA, San Joaquin",2016,All,06077,1 to 4,1 to 4,"CA, San Joaquin County"
"CA, San Luis Obispo",2016,All,06079,1 to 4,1 to 4,"CA, San Luis Obispo County"
"CA, Santa Cruz",2016,All,06087,1 to 4,1 to 4,"CA, Santa Cruz County"
"CA, Solano",2016,All,06095,1 to 4,1 to 4,"CA, Solano County"
"CA, Sonoma",2016,All,06097,1 to 4,1 to 4,"CA, Sonoma County"
"CA, Stanislaus",2016,All,06099,1 to 4,1 to 4,"CA, Stanislaus County"
"CA, Tehama",2016,All,06103,1 to 4,1 to 4,"CA, Tehama County"
"CA, Tulare",2016,All,06107,1 to 4,1 to 4,"CA, Tulare County"
"CA, Tuolumne",2016,All,06109,1 to 4,1 to 4,"CA, Tuolumne County"
"CA, Ventura",2016,All,06111,1 to 4,1 to 4,"CA, Ventura County"
"CA, Yolo",2016,All,06113,1 to 4,1 to 4,"CA, Yolo County"
"CO, Arapahoe",2016,All,08005,1 to 4,1 to 4,"CO, Arapahoe County"
"CO, Boulder",2016,All,08013,1 to 4,1 to 4,"CO, Boulder County"
"CO, Eagle",2016,All,08037,1 to 4,1 to 4,"CO, Eagle County"
"CO, El Paso",2016,All,08041,1 to 4,1 to 4,"CO, El Paso County"
"CO, Jefferson",2016,All,08059,1 to 4,1 to 4,"CO, Jefferson County"
"CO, Larimer",2016,All,08069,1 to 4,1 to 4,"CO, Larimer County"
"CO, Summit",2016,All,08117,1 to 4,1 to 4,"CO, Summit County"
"CO, Weld",2016,All,08123,1 to 4,1 to 4,"CO, Weld County"
"CT, Fairfield",2016,All,09001,1 to 4,1 to 4,"CT, Fairfield County"
"CT, Hartford",2016,All,09003,1 to 4,1 to 4,"CT, Hartford County"
"CT, New Haven",2016,All,09009,1 to 4,1 to 4,"CT, New Haven County"
"CT, Tolland",2016,All,09013,1 to 4,1 to 4,"CT, Tolland County"
"DE, New Castle",2016,All,10003,1 to 4,1 to 4,"DE, New Castle County"
"FL, Alachua",2016,All,12001,1 to 4,1 to 4,"FL, Alachua County"
"FL, Brevard",2016,All,12009,1 to 4,1 to 4,"FL, Brevard County"
"FL, Clay",2016,All,12019,1 to 4,1 to 4,"FL, Clay County"
"FL, Columbia",2016,All,12023,1 to 4,1 to 4,"FL, Columbia County"
"FL, Duval",2016,All,12031,1 to 4,1 to 4,"FL, Duval County"
"FL, Hillsborough",2016,All,12057,1 to 4,1 to 4,"FL, Hillsborough County"
"FL, Indian River",2016,All,12061,1 to 4,1 to 4,"FL, Indian River County"
"FL, Lee",2016,All,12071,1 to 4,1 to 4,"FL, Lee County"
"FL, Manatee",2016,All,12081,1 to 4,1 to 4,"FL, Manatee County"
"FL, Monroe",2016,All,12087,1 to 4,1 to 4,"FL, Monroe County"
"FL, Nassau",2016,All,12089,1 to 4,1 to 4,"FL, Nassau County"
"FL, Orange",2016,All,12095,1 to 4,1 to 4,"FL, Orange County"
"FL, Osceola",2016,All,12097,1 to 4,1 to 4,"FL, Osceola County"
"FL, Palm Beach",2016,All,12099,1 to 4,1 to 4,"FL, Palm Beach County"
"FL, Pinellas",2016,All,12103,1 to 4,1 to 4,"FL, Pinellas County"
"FL, Polk",2016,All,12105,1 to 4,1 to 4,"FL, Polk County"
"FL, Sarasota",2016,All,12115,1 to 4,1 to 4,"FL, Sarasota County"
"FL, Seminole",2016,All,12117,1 to 4,1 to 4,"FL, Seminole County"
"GA, Chatham",2016,All,13051,1 to 4,1 to 4,"GA, Chatham County"
"GA, Cobb",2016,All,13067,1 to 4,1 to 4,"GA, Cobb County"
"GA, Coweta",2016,All,13077,1 to 4,1 to 4,"GA, Coweta County"
"GA, De Kalb",2016,All,13089,1 to 4,1 to 4,"GA, DeKalb County"
"GA, Forsyth",2016,All,13117,1 to 4,1 to 4,"GA, Forsyth County"
"GA, Gwinnett",2016,All,13135,1 to 4,1 to 4,"GA, Gwinnett County"
"GA, Lowndes",2016,All,13185,1 to 4,1 to 4,"GA, Lowndes County"
"GA, Muscogee",2016,All,13215,1 to 4,1 to 4,"GA, Muscogee County"
"GA, Oconee",2016,All,13219,1 to 4,1 to 4,"GA, Oconee County"
"HI, Maui",2016,All,15009,1 to 4,1 to 4,"HI, Maui County"
"ID, Blaine",2016,All,16013,1 to 4,1 to 4,"ID, Blaine County"
"ID, Canyon",2016,All,16027,1 to 4,1 to 4,"ID, Canyon County"
"ID, Minidoka",2016,All,16067,1 to 4,1 to 4,"ID, Minidoka County"
"IL, Champaign",2016,All,17019,1 to 4,1 to 4,"IL, Champaign County"
"IL, Du Page",2016,All,17043,1 to 4,1 to 4,"IL, DuPage County"
"IL, Kendall",2016,All,17093,1 to 4,1 to 4,"IL, Kendall County"
"IL, Lake",2016,All,17097,1 to 4,1 to 4,"IL, Lake County"
"IL, La Salle",2016,All,17099,1 to 4,1 to 4,"IL, LaSalle County"
"IL, Ogle",2016,All,17141,1 to 4,1 to 4,"IL, Ogle County"
"IL, Peoria",2016,All,17143,1 to 4,1 to 4,"IL, Peoria County"
"IL, St Clair",2016,All,17163,1 to 4,1 to 4,"IL, St. Clair County"
"IL, Sangamon",2016,All,17167,1 to 4,1 to 4,"IL, Sangamon County"
"IL, Will",2016,All,17197,1 to 4,1 to 4,"IL, Will County"
