Year,Travel status,Week,Reported cases
2016,All,01,80
2016,All,02,45
2016,All,03,43
2016,All,04,36
2016,All,05,26
2016,All,06,49
2016,All,07,44
2016,All,08,26
2016,All,09,25
2016,All,10,13
2016,All,11,23
2016,All,12,19
2016,All,13,20
2016,All,14,17
2016,All,15,14
2016,All,16,10
2016,All,17,16
2016,All,18,17
2016,All,19,20
2016,All,20,15
2016,All,21,18
2016,All,22,25
2016,All,23,20
2016,All,24,22
2016,All,25,27
2016,All,26,16
2016,All,27,30
2016,All,28,35
2016,All,29,44
2016,All,30,38
2016,All,31,39
2016,All,32,34
2016,All,33,34
2016,All,34,36
2016,All,35,20
2016,All,36,26
2016,All,37,15
2016,All,38,21
2016,All,39,16
2016,All,40,17
2016,All,41,9
2016,All,42,17
2016,All,43,9
2016,All,44,14
2016,All,45,10
2016,All,46,5
2016,All,47,13
2016,All,48,6
2016,All,49,8
2016,All,50,5
2016,All,51,8
2016,All,52,5
2016,All,53,8
